geneID	319_1_mouse_C57Bl6_Adip_iBA_1	319_2_mouse_C57Bl6_Adip_ScWA_2	319_3_mouse_C57Bl6_Adip_ScWA_3	319_4_mouse_C57Bl6_Adip_ScWA_4	319_5_mouse_C57Bl6_Adip_VisWA_1	319_6_mouse_C57Bl6_Adip_VisWA_2	319_7_mouse_C57Bl6_Adip_VisWA_3	319_8_mouse_C57Bl6_Adip_VisWA_4	319_9_mouse_C57Bl6_Adip_ScWA_1	319_11_mouse_C57Bl6_Adip_iBA_3	319_12_mouse_C57Bl6_Adip_iBA_4	319_13_mouse_SV129_Adip_ScWA_1	319_14_mouse_SV129_Adip_ScWA_2	319_15_mouse_SV129_Adip_ScWA_3	319_16_mouse_SV129_Adip_ScWA_4	319_17_mouse_SV129_Adip_VisWA_1	319_18_mouse_SV129_Adip_VisWA_2	319_19_mouse_SV129_Adip_VisWA_3	319_20_mouse_SV129_Adip_VisWA_4	319_21_mouse_SV129_Adip_iBA_1	319_22_mouse_SV129_Adip_iBA_2	319_23_mouse_SV129_Adip_iBA_3	319_24_mouse_SV129_Adip_iBA_4
ENSMUSG00000000001	3.990	34.808	29.799	34.262	28.630	39.669	30.564	33.224	39.396	15.998	11.777	49.494	40.451	40.548	40.062	45.511	44.021	43.044	47.111	36.201	24.957	35.975	25.336
ENSMUSG00000000003	0	0	0	0	0.423	0	0	0.055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	3.533	3.662	3.108	3.209	4.848	4.359	5.984	4.168	3.304	2.537	3.036	3.776	3.332	3.348	3.182	3.472	4.010	3.495	3.828	2.379	1.166	2.193	1.356
ENSMUSG00000000031	0.375	0.124	0.105	0.137	0.313	0.055	0.099	0.196	0.312	0.158	0.384	0.153	0.077	0.143	0.271	0.378	0.259	0.455	0.269	1.409	1.299	1.391	1.437
ENSMUSG00000000037	0.467	0.567	0.185	0.194	0.146	0.468	0.300	0.122	0.118	0.019	0.224	0.126	0.126	0.461	0.243	0.205	0.148	0.088	0.248	0.237	0.020	0.086	0.125
ENSMUSG00000000049	0.082	0.044	0	0.118	0.080	0	0.075	0	0.067	0.077	0.046	0.045	0	0.045	0.084	0	0.196	0.137	0	0	0	0	0
ENSMUSG00000000056	4.901	4.897	6.486	4.571	6.053	6.536	8.644	5.281	3.585	4.815	7.278	7.128	6.535	5.151	6.354	7.152	7.157	7.702	6.526	7.565	5.538	4.806	6.064
ENSMUSG00000000058	51.758	415.560	425.741	425.686	434.153	552.405	404.353	578.324	378.310	140.847	95.493	304.890	322.281	284.300	327.373	508.122	490.520	453.621	552.513	230.368	182.621	191.042	184.196
ENSMUSG00000000078	21.688	351.494	276.905	273.563	231.216	370.357	357.925	292.807	284.398	68.436	51.712	391.944	296.117	278.695	214.427	285.444	204.817	189.721	224.597	141.727	69.155	102.552	58.882
ENSMUSG00000000085	16.355	9.061	9.489	11.905	10.634	11.501	10.938	9.417	10.835	10.024	15.999	13.338	11.835	13.158	13.593	15.674	14.644	17.693	14.548	15.110	10.022	10.705	8.704
ENSMUSG00000000088	1116.590	159.449	164.641	182.433	170.081	128.005	134.628	152.852	214.608	873.015	986.845	199.520	211.303	189.875	209.816	136.148	158.712	149.635	141.411	310.453	249.711	446.003	415.869
ENSMUSG00000000093	1.059	0.186	0.076	0.350	1.222	0.396	0.345	0.453	0.431	0.619	0.868	0.341	0.434	0.471	0.439	0.649	0.898	1.150	0.863	0.636	0.643	0.884	0.872
ENSMUSG00000000094	0	0	0	0.032	0	0	0	0.017	0.016	0	0	0	0	0	0	0.064	0	0.030	0	0	0	0	0.021
ENSMUSG00000000120	1.096	0.166	0.173	0.232	0.332	0.065	0.117	0.043	0.156	0.391	0.614	0.312	0.194	0.341	0.332	0.082	0.201	0.233	0.128	0.158	0.260	0.327	0.252
ENSMUSG00000000125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016	0	0	0	0	0	0	0	0
ENSMUSG00000000126	0.434	0.407	0.236	0.312	1.135	0.729	1.252	0.735	0.353	0.203	0.654	0.502	0.575	0.579	0.645	1.150	1.400	1.090	1.179	0.457	0.414	0.412	0.430
ENSMUSG00000000127	2.057	8.529	7.949	8.677	5.715	7.748	7.027	8.154	7.237	4.290	2.948	8.077	8.235	8.012	8.466	9.920	9.905	8.759	9.821	6.438	4.944	6.553	6.208
ENSMUSG00000000131	38.688	40.363	40.548	44.346	37.895	47.523	56.850	41.788	38.990	33.848	43.366	44.827	38.914	43.034	34.142	50.158	53.891	58.659	54.075	28.968	20.758	37.762	23.271
ENSMUSG00000000134	25.970	17.191	17.411	14.675	21.710	18.552	20.146	15.834	19.178	13.380	18.406	14.325	14.471	15.223	15.786	13.880	15.609	20.401	14.777	9.855	8.530	13.816	10.657
ENSMUSG00000000142	7.321	5.231	6.787	5.059	24.422	15.839	13.446	16.910	4.958	7.197	5.345	2.109	5.834	4.256	5.402	9.054	16.101	14.165	14.402	2.560	2.735	2.632	3.124
ENSMUSG00000000148	5.746	4.784	5.292	4.920	8.760	5.824	6.384	5.949	3.272	3.428	4.340	3.394	4.422	4.448	4.141	5.483	5.507	5.840	5.233	2.847	2.395	2.999	3.081
ENSMUSG00000000149	46.527	16.445	15.941	17.537	25.551	19.636	19.555	19.919	17.313	25.424	35.492	17.957	18.366	18.254	18.865	21.771	22.203	20.330	19.230	20.730	16.552	22.722	22.315
ENSMUSG00000000154	1.485	3.721	3.918	3.247	3.960	5.177	5.566	4.856	4.394	1.368	1.003	3.418	3.224	2.834	3.257	3.336	2.583	2.535	3.126	0.801	1.204	0.964	0.762
ENSMUSG00000000157	0	0	0	0	0	0	0	0.082	0	0	0	0	0	0	0	0	0	0.019	0	0	0	0	0
ENSMUSG00000000159	0	0	0	0	0	0	0	0	0	0	0	0	0.126	0	0	0	0.034	0.132	0.063	0	0	0	0
ENSMUSG00000000167	0.345	1.130	1.312	1.125	0.677	0.930	1.704	1.742	0.933	1.008	0.677	1.577	2.068	1.761	1.657	1.664	2.388	1.095	1.677	0.262	0.735	1.482	0.922
ENSMUSG00000000168	302.256	118.985	142.076	133.165	75.811	86.171	83.380	103.014	134.817	391.211	310.665	165.647	164.794	151.177	172.131	111.618	113.085	95.427	90.625	186.724	138.374	265.385	227.212
ENSMUSG00000000171	782.909	137.869	145.627	150.233	159.903	129.240	145.769	145.488	172.426	516.802	597.958	150.602	153.012	146.671	158.709	116.559	125.640	132.166	117.583	212.884	158.184	317.243	273.047
ENSMUSG00000000182	0	0.029	0	0.026	0	0	0	0	0	0	0	0.207	0.026	0.059	0.082	0	0	0.028	0	0.067	0	0.033	0
ENSMUSG00000000184	5.596	54.478	61.968	57.468	59.383	73.785	59.891	75.114	49.297	12.727	8.909	37.163	45.178	41.812	37.670	55.361	50.273	51.390	55.086	13.763	12.969	14.230	13.387
ENSMUSG00000000194	20.255	18.657	17.938	18.864	22.280	18.780	20.121	17.046	14.494	15.813	17.133	14.684	18.878	16.793	17.027	17.869	19.197	21.968	21.111	10.557	10.652	15.704	12.026
ENSMUSG00000000197	0.008	0.007	0.006	0.007	0.040	0.031	0.025	0.014	0	0	0	0.008	0.013	0.008	0.007	0.033	0.083	0.127	0.069	0	0.008	0	0
ENSMUSG00000000202	0	0.070	0	0.016	0	0	0	0.127	0	0	0	0	0	0	0	0.088	0.089	0	0.226	0.020	0	0	0
ENSMUSG00000000204	0	0.044	0.064	0.216	0.045	0.029	0.013	0	0.211	0.035	0.041	0.449	0.259	0.408	0.303	0.204	0.189	0.112	0.149	0.164	0.097	0.064	0
ENSMUSG00000000214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101	0	0	0	0
ENSMUSG00000000215	0	0	0	0	1.990	0	0	0.219	0	0.123	6.206	0	0	0	0	0.103	26.892	501.487	341.521	37.716	40.931	21.196	13.055
ENSMUSG00000000216	0.020	0.017	0.015	0	0	0.015	0.030	0	0	0.038	0	0.072	0.080	0.161	0.033	0.016	0.054	0.050	0.033	0	0.020	0.119	0.021
ENSMUSG00000000223	0.333	1.187	0.818	1.587	0.027	0.032	0	0	0.356	0.240	0.281	0.814	0.839	0.953	2.213	0.040	0.104	0.039	0.014	0.400	0.658	0.447	0.710
ENSMUSG00000000244	0	0.123	0.083	0.205	0.117	0.447	0.311	0.131	0.294	0.069	0.030	0.179	0.261	0.157	0.132	0.275	0.122	0.127	0.296	0	0	0.137	0
ENSMUSG00000000247	0	0	0	0.033	0	0.026	0	0	0.034	0	0.044	0.019	0.077	0.019	0.134	0.038	0.090	0	0.029	0.139	0.035	0	0.022
ENSMUSG00000000248	0	0.071	0	0	0.040	0	0.061	0	0	0	0	0.168	0	0.435	0	0	0	0	0	0	0	0	0
ENSMUSG00000000253	37.474	2.232	2.763	2.568	5.000	4.050	5.286	4.170	2.880	15.328	22.239	3.102	2.888	2.812	2.853	3.848	3.979	4.547	5.317	9.889	6.690	15.098	14.140
ENSMUSG00000000263	0	0.312	0.293	0.189	0.230	0.267	0.201	0.373	0.233	0.031	0.060	0.218	0.169	0.164	0.147	0.048	0	0.084	0	0	0	0	0
ENSMUSG00000000266	1.533	7.800	6.084	7.320	3.748	7.590	5.488	7.034	6.385	4.379	2.850	7.659	8.545	8.122	7.507	9.270	9.086	8.173	9.329	8.098	5.709	7.747	6.695
ENSMUSG00000000275	7.409	19.523	13.308	17.406	9.888	10.458	8.023	7.913	18.904	11.468	15.172	52.199	23.412	31.724	23.550	16.354	18.120	18.424	15.343	35.395	18.855	30.520	19.488
ENSMUSG00000000276	3.878	3.007	2.587	3.585	3.903	3.931	2.799	3.406	3.183	7.309	7.194	4.266	4.817	5.572	6.668	5.924	6.904	6.689	7.594	11.205	8.515	9.913	8.617
ENSMUSG00000000278	38.060	27.542	26.946	29.403	19.178	20.498	20.447	19.647	32.454	27.826	32.237	19.920	21.703	20.956	18.788	19.561	20.016	20.147	21.698	18.605	17.157	24.554	21.166
ENSMUSG00000000282	3.252	2.584	3.008	3.408	3.816	4.145	4.079	3.776	2.607	3.046	3.625	3.722	3.793	3.976	5.029	4.187	5.967	5.587	4.749	3.417	1.841	2.678	3.486
ENSMUSG00000000290	0.531	1.217	0.335	1.885	5.166	4.279	3.339	4.147	2.252	0.170	0.365	5.274	4.750	3.831	1.967	14.043	11.169	9.514	16.177	0.545	0.426	0.359	0.292
ENSMUSG00000000295	15.836	10.742	11.081	10.448	17.750	11.375	14.144	15.177	13.630	14.078	13.802	9.751	11.628	8.791	10.612	11.101	11.936	12.223	10.050	6.920	5.355	9.063	8.860
ENSMUSG00000000296	3.550	0.205	0.290	0.260	1.354	0.460	0.599	0.550	0.231	2.126	1.970	0.551	0.377	0.464	0.550	0.409	0.969	0.833	0.386	1.293	0.849	2.109	1.468
ENSMUSG00000000301	14.411	12.270	15.149	11.462	20.552	13.721	17.251	13.066	13.886	10.761	15.591	9.834	11.607	9.744	11.636	14.130	14.177	11.757	12.605	4.676	3.995	6.046	5.170
ENSMUSG00000000303	0.041	0.114	0.074	0.089	0.108	0	0	0.067	0.033	0.018	0.119	0.036	0.097	0.108	0.314	0.015	0.067	0.252	0.166	0.068	0.162	0	0.084
ENSMUSG00000000305	0.165	0.070	0.115	0.015	0.226	0.014	0.007	0.135	0.015	0.026	0.120	0.142	0.041	0.017	0.008	0.078	0.087	0.067	0.023	0.085	0.103	0.037	0.275
ENSMUSG00000000308	0.142	0	0.081	0.067	0.310	0.030	0.166	0.189	0	0.133	0.145	0	0	0	0	0.126	0.211	0.367	0.294	0.143	0.075	0	0
ENSMUSG00000000317	14.600	4.865	2.336	5.928	10.098	7.728	6.002	5.615	8.282	9.775	22.601	11.171	10.553	8.752	12.181	13.596	18.569	15.894	15.009	13.968	17.497	13.358	12.228
ENSMUSG00000000318	1.269	6.472	3.276	4.504	7.785	6.239	5.697	4.846	12.506	1.012	0.538	14.601	6.251	6.530	2.029	2.435	2.269	2.376	3.625	0.250	0.742	1.487	0.564
ENSMUSG00000000320	6.290	0.676	0.636	1.113	0.991	0.422	0.352	0.632	1.079	3.213	6.344	2.478	2.327	2.855	4.754	1.822	2.213	4.219	2.964	9.209	5.445	6.804	5.109
ENSMUSG00000000325	2.124	2.629	2.031	2.328	4.090	3.080	2.852	2.491	2.104	0.838	1.594	1.666	2.136	1.656	1.981	3.482	3.185	3.478	2.382	1.044	1.031	1.408	1.487
ENSMUSG00000000326	230.541	199.783	250.903	225.017	246.996	250.041	241.388	260.919	212.158	190.847	211.965	125.541	186.879	144.803	183.372	146.828	140.121	129.059	140.786	78.706	75.764	107.032	107.737
ENSMUSG00000000339	14.448	9.206	10.143	9.502	12.986	10.399	11.583	13.324	11.012	15.307	16.349	10.439	10.498	10.956	11.715	12.271	13.096	11.799	14.715	13.309	8.456	12.618	15.640
ENSMUSG00000000340	17.923	58.235	57.240	58.006	28.928	44.495	36.387	46.226	59.284	42.886	21.105	46.540	50.383	57.806	47.845	52.101	48.022	51.531	57.673	32.624	25.244	62.055	43.095
ENSMUSG00000000346	112.359	77.755	76.476	80.230	94.950	85.383	92.990	87.188	94.064	69.759	107.807	95.334	87.761	93.434	97.343	109.656	112.794	120.902	110.580	92.287	64.551	84.334	74.290
ENSMUSG00000000355	41.976	41.907	44.176	46.811	52.495	46.489	40.643	45.719	49.630	55.919	45.678	44.327	44.363	46.428	43.476	39.859	45.493	38.556	47.804	35.492	27.873	44.691	38.962
ENSMUSG00000000359	1.217	0.094	0.179	0.352	1.261	0.474	0.510	0.635	0.617	0.314	0.489	0.689	0.741	0.450	1.066	1.132	1.446	1.653	1.016	1.034	0.866	1.190	1.312
ENSMUSG00000000365	0	0.071	0.089	0.073	0.185	0.174	0.139	0.193	0.028	0.022	0.032	0.042	0.065	0.104	0.058	0.156	0.093	0.049	0.218	0.035	0	0.046	0.024
ENSMUSG00000000374	15.944	15.242	15.713	14.282	15.716	20.288	18.706	18.541	13.725	12.283	14.070	14.646	15.697	14.365	14.004	19.258	21.200	20.431	20.683	8.679	7.768	12.412	9.703
ENSMUSG00000000378	33.400	26.859	27.836	27.463	40.029	30.512	31.910	29.504	25.355	18.506	29.895	21.588	22.673	21.416	23.154	22.378	22.086	26.445	22.446	15.797	12.035	12.261	12.780
ENSMUSG00000000384	60.101	16.169	22.444	18.074	25.274	18.038	15.464	17.969	19.668	34.849	34.893	16.476	17.137	19.930	19.916	17.863	20.017	21.115	17.224	16.323	11.685	23.673	17.859
ENSMUSG00000000385	0.019	0.148	0.073	0.149	0.030	0.043	0.014	0.032	0.139	0.071	0.137	0.510	0.196	0.237	0.079	0.104	0.051	0.080	0.077	0.173	0.095	0.338	0.039
ENSMUSG00000000386	0.056	0.538	0.556	0.832	0.071	0.245	0.221	0.429	0.240	0	0.064	0.281	0.188	1.303	0.108	0	0.027	0	0.025	0.032	0.022	0.069	0
ENSMUSG00000000392	0.816	1.339	1.499	1.865	1.610	0.837	1.157	0.578	2.639	0.815	0.706	3.112	1.302	1.445	1.585	1.466	1.481	1.674	1.125	1.041	1.242	1.045	1.474
ENSMUSG00000000394	0	0	0.042	0	0	0	0	0	0	0	2.230	0	0	0	0	0	7.569	107.916	106.549	11.364	14.838	6.823	4.787
ENSMUSG00000000399	351.218	110.506	116.624	126.312	125.826	101.814	122.110	119.015	136.653	316.058	340.255	127.567	133.985	127.035	135.279	109.019	113.993	115.443	106.114	142.388	118.413	226.456	193.360
ENSMUSG00000000402	0	0	0.034	0.035	0.141	0	0.066	0	0	0	0.020	0.020	0	0.020	0.018	0.035	0.039	0.056	0.064	0	0.022	0	0
ENSMUSG00000000409	0.498	0.219	0.279	0.346	0.260	0.086	0.215	0.200	0.285	0.337	0.267	0.816	0.551	0.733	0.587	0.494	0.585	0.291	0.422	0.412	0.317	0.796	0.353
ENSMUSG00000000411	0	0	0	0.073	0	0.035	0	0	0.038	0	0.042	0.042	0	0.209	0	0.074	0	0.039	0.038	0.095	0	0	0.048
ENSMUSG00000000416	0.305	0.114	0.121	0.796	0.640	0.477	0.372	0.621	0.311	0.346	0.651	1.332	2.108	2.010	1.763	1.385	1.636	2.010	1.699	2.369	2.475	2.125	1.979
ENSMUSG00000000420	14.150	38.888	39.843	43.233	32.462	39.786	38.996	43.376	33.631	27.844	17.155	43.880	43.337	41.245	44.176	54.104	49.689	47.581	51.676	31.217	24.245	38.991	29.851
ENSMUSG00000000435	0.029	0	0.022	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0.058	0.029	0	0
ENSMUSG00000000439	20.217	12.650	14.381	14.450	19.594	14.700	16.846	17.668	13.037	17.017	19.002	10.469	13.569	13.660	13.021	14.956	15.671	16.493	15.441	9.992	8.817	11.949	10.242
ENSMUSG00000000440	150.223	245.054	278.642	261.590	278.840	243.936	246.822	281.284	241.913	188.835	184.404	202.171	245.324	276.482	275.203	229.537	269.583	297.350	281.284	207.946	147.315	233.860	205.096
ENSMUSG00000000441	69.957	61.007	74.930	76.466	68.133	71.683	67.763	74.057	72.025	56.042	59.229	54.727	55.953	60.187	50.212	49.870	66.178	55.330	54.045	37.873	30.789	52.454	39.632
ENSMUSG00000000486	6.131	1.266	2.100	1.725	3.417	1.735	1.468	1.683	1.086	2.217	3.024	1.960	2.316	2.028	2.694	1.953	2.728	2.102	2.128	1.666	2.498	2.673	2.374
ENSMUSG00000000489	41.722	3.207	3.199	4.719	7.822	3.855	3.184	5.150	5.438	20.596	31.649	5.833	8.452	9.022	13.502	10.120	10.102	12.963	12.630	33.856	21.180	21.431	25.199
ENSMUSG00000000530	35.243	10.458	7.574	12.926	24.054	16.749	20.288	17.588	12.936	17.482	32.751	20.833	21.569	22.546	33.467	25.459	27.902	35.434	25.084	68.723	40.137	42.530	43.499
ENSMUSG00000000531	7.001	1.989	1.096	2.335	6.012	2.872	2.108	2.002	2.668	4.265	7.871	5.921	4.147	4.324	6.228	3.931	5.677	5.964	5.391	9.345	5.463	7.287	6.683
ENSMUSG00000000532	2.056	10.992	9.459	8.626	5.794	9.507	9.015	7.347	9.754	1.847	1.960	9.167	7.142	7.104	5.435	5.587	5.725	5.569	6.279	1.956	1.858	2.647	1.715
ENSMUSG00000000538	27.699	16.628	14.245	15.826	17.372	15.596	16.375	13.767	13.859	18.289	20.944	15.406	14.601	15.351	15.503	16.946	17.714	18.687	17.887	15.297	10.302	14.830	13.567
ENSMUSG00000000552	5.288	9.349	10.035	9.519	20.403	15.592	15.188	15.725	7.779	2.988	3.979	8.343	8.683	7.832	7.969	11.348	10.792	10.986	9.451	1.881	2.244	2.281	2.436
ENSMUSG00000000555	7.642	2.671	1.943	3.102	4.831	5.077	2.968	3.432	4.460	3.396	6.964	6.314	5.186	5.036	5.657	5.528	6.597	7.491	7.021	6.929	5.733	6.022	5.975
ENSMUSG00000000560	0.025	0	0	0	0	0	0	0	0.020	0.141	0.136	0.045	0	0	0	0	0	0	0.020	0.558	0.525	0.298	0.181
ENSMUSG00000000561	19.953	21.314	20.121	21.353	23.762	22.450	19.515	22.209	21.444	15.781	16.500	16.065	18.533	21.093	17.587	18.216	23.819	23.371	22.584	10.320	9.314	15.456	10.138
ENSMUSG00000000562	0	0	0	0	0.078	0	0	0	0	0.024	0	0	0.020	0	0	0	0	0.041	0.040	0	0.102	0	0
ENSMUSG00000000563	277.553	147.371	155.919	161.261	180.965	143.367	157.099	165.969	188.727	297.765	288.431	161.111	165.215	157.375	170.622	152.592	147.267	138.620	150.161	132.677	95.284	193.396	161.193
ENSMUSG00000000567	0.348	0.465	0.345	0.398	1.682	1.789	2.150	0.987	0.567	0.244	0.315	0.857	0.415	0.568	0.373	0.729	0.659	1.215	0.898	0.191	0.072	0.445	0.210
ENSMUSG00000000568	25.699	64.481	61.120	64.510	49.901	69.769	53.759	61.923	75.875	52.981	33.360	74.054	75.641	84.929	80.998	86.544	89.978	92.849	92.206	75.881	56.998	76.715	60.091
ENSMUSG00000000579	3.236	2.937	2.866	2.548	3.948	2.909	2.988	3.722	3.287	1.957	2.661	2.775	3.452	3.056	3.825	3.226	3.442	3.884	4.480	3.268	2.694	3.546	2.808
ENSMUSG00000000581	17.789	26.086	29.463	29.097	29.991	29.484	30.065	28.600	30.485	20.295	17.249	23.557	25.461	23.732	23.406	27.794	23.759	26.999	27.329	19.725	14.037	18.348	17.163
ENSMUSG00000000594	41.837	58.980	62.761	63.920	40.514	40.119	48.088	41.078	65.744	27.846	40.166	42.737	46.769	44.600	37.186	31.156	32.608	34.448	32.961	16.145	16.641	21.297	19.019
ENSMUSG00000000600	1.043	5.648	5.126	5.308	3.337	5.419	3.531	4.164	5.252	3.883	2.337	6.174	5.707	5.936	5.411	6.709	5.873	5.168	6.412	5.659	4.390	6.350	4.996
ENSMUSG00000000605	5.869	17.897	18.632	17.514	14.363	17.388	16.245	17.010	18.920	13.066	7.431	11.458	14.099	13.985	13.572	13.683	15.677	14.309	15.791	8.894	7.821	12.285	9.697
ENSMUSG00000000627	0.103	0.038	0.011	0.012	0	0	0	0	0.036	0.055	0.066	0.090	0.035	0.185	0.049	0.081	0.013	0.074	0.048	0.176	0.088	0.239	0.046
ENSMUSG00000000628	159.238	170.709	133.963	142.292	111.395	113.653	107.459	93.837	230.158	156.277	97.620	133.579	109.320	146.865	102.551	65.674	72.849	83.579	75.779	50.733	52.973	167.253	124.896
ENSMUSG00000000631	31.605	11.858	11.590	13.605	12.329	11.572	11.126	11.054	14.752	20.056	23.947	15.910	16.097	20.210	18.954	14.959	9.788	12.987	10.812	26.689	20.376	26.288	21.904
ENSMUSG00000000632	1.597	0.115	0.260	0.390	0.530	0.510	0.461	0.320	0.337	1.032	1.603	0.423	0.456	0.423	1.571	0.872	1.247	1.071	1.328	1.710	1.294	1.082	1.070
ENSMUSG00000000673	0.098	0.038	0	0	0.078	0.037	0.110	0.122	0	0	0	0	0.039	0.131	0.081	0.116	0.044	0	0.120	0	0	0.049	0
ENSMUSG00000000682	1.400	0.506	0.358	1.280	10.846	3.924	2.607	4.260	1.330	0.546	1.795	3.029	2.879	2.597	1.357	8.705	5.610	6.060	9.795	0.778	0.465	0.462	0.241
ENSMUSG00000000686	11.340	18.694	20.973	18.064	32.130	22.792	24.585	26.382	14.040	9.624	7.590	12.979	16.540	15.985	14.977	18.222	19.875	19.800	18.112	4.551	3.939	6.674	6.422
ENSMUSG00000000690	3.823	1.424	1.715	1.905	4.428	2.043	1.488	2.277	3.849	1.955	2.698	1.796	1.456	1.643	2.621	1.330	1.614	1.767	1.943	3.369	1.980	1.940	3.358
ENSMUSG00000000693	0.791	0.425	0.258	0.400	0.564	0.321	0.355	0.552	0.588	0.544	0.624	0.530	1.129	0.524	0.875	1.164	0.627	0.732	0.620	0.379	0.281	0.774	0.891
ENSMUSG00000000706	0	0	0	0	0	0	0	0	0.014	0.016	0	0	0	0	0	0.012	0	0	0.014	0	0	0	0
ENSMUSG00000000708	9.726	43.809	33.773	38.915	30.271	36.327	39.304	32.350	34.157	21.893	13.413	42.103	32.003	36.038	37.050	44.877	41.847	45.673	41.398	19.363	14.878	25.871	14.348
ENSMUSG00000000711	44.334	40.574	40.126	43.142	44.459	43.079	47.289	45.193	39.920	32.803	41.009	36.584	42.310	40.016	39.158	45.458	46.438	49.679	47.355	26.573	19.049	30.839	25.187
ENSMUSG00000000724	0	0	0	0	0	0	0	0	0	0	0	0	0.061	0	0	0	0	0	0	0.088	0	0.043	0
ENSMUSG00000000730	0.455	0.835	1.447	1.336	0.342	0.870	0.504	1.103	1.465	0.924	0.987	0.913	0.748	0.680	1.469	0.230	0.531	0.345	0.295	0.351	0.200	0.199	0.167
ENSMUSG00000000731	0	0	0	0	0	0	0	0	0	0.044	0.086	0	0	0	0	0	0	0	0	0	0.095	0	0.098
ENSMUSG00000000732	2.328	2.415	2.586	2.626	2.006	1.594	1.216	1.499	3.029	0.977	2.264	1.968	1.921	2.034	2.274	1.897	1.686	1.695	1.685	0.705	1.106	0.991	0.697
ENSMUSG00000000751	14.764	14.989	15.780	15.307	19.720	19.022	21.466	20.246	15.025	12.133	14.319	14.226	14.949	13.906	16.473	23.008	18.573	19.013	20.430	10.741	9.409	12.767	10.480
ENSMUSG00000000753	19.292	74.463	58.135	74.369	45.171	36.417	42.991	29.127	64.657	9.119	17.054	60.361	44.105	35.371	40.159	28.238	22.543	22.647	22.832	10.390	14.027	9.288	10.409
ENSMUSG00000000759	7.871	7.971	11.470	9.098	7.342	8.852	8.005	9.221	8.340	8.418	8.540	10.296	11.183	12.577	12.058	10.286	11.667	10.345	12.952	12.349	9.308	13.278	11.725
ENSMUSG00000000776	4.728	3.843	4.499	5.151	6.995	5.315	4.671	5.114	5.013	3.456	3.524	6.716	6.170	6.438	5.753	6.543	6.389	6.832	6.283	4.365	3.319	5.565	4.275
ENSMUSG00000000782	0.267	0.084	0.026	0.134	0.082	0.077	0.054	0.060	0.099	0.136	0.242	0.217	0.135	0.367	0.242	0.324	0.363	0.447	0.391	0.639	0.314	0.577	0.110
ENSMUSG00000000787	25.657	154.098	139.767	150.299	70.399	128.250	95.603	120.289	148.325	102.370	47.455	204.240	173.422	203.173	179.033	173.785	171.536	170.162	174.834	177.167	118.381	216.551	143.953
ENSMUSG00000000791	0	0	0.016	0	0.017	0	0	0	0	0	0	0.019	0.066	0.037	0	0.016	0.056	0.017	0.017	0	0.042	0.041	0.022
ENSMUSG00000000792	0.020	0.018	0	0.016	0	0	0	0.034	0.083	0.038	0	0.037	0.016	0	0	0.016	0.018	0.034	0	0.062	0.061	0.020	0
ENSMUSG00000000794	0.062	0.036	0	0	0.071	0	0	0.035	0.017	0	0	0	0.017	0	0.195	0.065	0.093	0.087	0.034	0.021	0.021	0.078	0.077
ENSMUSG00000000804	3.108	11.974	10.809	12.998	6.521	12.195	8.424	9.232	11.478	10.794	5.200	18.303	15.898	16.374	13.970	15.650	16.468	12.814	16.827	12.547	9.827	13.372	12.484
ENSMUSG00000000805	208.271	22.546	18.912	30.864	47.466	29.887	27.155	31.664	39.971	110.725	239.474	106.963	85.253	93.778	131.516	108.732	100.889	113.083	96.824	353.436	204.248	193.393	212.217
ENSMUSG00000000811	5.985	9.184	9.550	10.026	11.744	10.036	9.938	11.194	9.986	6.193	6.314	8.614	8.814	8.548	8.665	10.513	9.302	11.230	9.910	3.552	3.330	5.277	4.241
ENSMUSG00000000817	0	0.027	0	0.024	0	0.023	0	0.026	0.025	0	0	0	0.049	0	0.026	0.049	0.028	0	0.025	0.031	0	0.031	0
ENSMUSG00000000823	5.693	8.527	9.682	7.211	10.081	12.166	12.268	9.532	6.667	6.240	3.497	5.571	7.122	8.380	6.845	9.001	11.750	12.978	11.399	2.799	2.531	5.708	3.862
ENSMUSG00000000826	29.109	33.178	34.240	32.281	31.545	36.067	38.383	40.901	26.767	28.925	27.665	33.763	35.169	32.876	30.114	33.745	39.394	38.044	39.475	25.231	16.230	27.762	24.042
ENSMUSG00000000827	82.718	57.992	60.067	62.506	73.669	61.506	70.211	61.869	68.239	55.374	68.598	54.437	58.578	57.340	52.764	55.545	55.750	63.522	63.701	42.087	31.460	45.224	41.545
ENSMUSG00000000838	3.446	50.177	50.740	48.519	20.692	60.270	30.296	54.849	43.047	11.261	6.912	45.553	36.852	46.282	29.508	38.740	39.273	33.906	40.609	17.525	12.479	21.369	14.002
ENSMUSG00000000861	0.106	0	0	0.016	0.020	0	0	0	0	0	0	0	0	0	0	0.094	0	0.033	0	0.010	0	0	0.010
ENSMUSG00000000869	0.111	0.384	0.510	0.608	0.088	0.497	0.248	0.276	0.451	0.104	0.301	0.595	0.529	0.395	0.368	0.426	0.691	0.743	0.813	0.561	0.331	0.768	0.573
ENSMUSG00000000876	41.418	37.454	42.396	40.447	65.867	48.356	56.516	53.735	36.911	23.842	30.698	35.459	37.729	36.112	34.763	40.804	40.415	44.242	40.506	16.302	14.604	22.152	19.142
