geneID	319_1_mouse_C57Bl6_Adip_iBA_1	319_2_mouse_C57Bl6_Adip_ScWA_2	319_3_mouse_C57Bl6_Adip_ScWA_3	319_4_mouse_C57Bl6_Adip_ScWA_4	319_5_mouse_C57Bl6_Adip_VisWA_1	319_6_mouse_C57Bl6_Adip_VisWA_2	319_7_mouse_C57Bl6_Adip_VisWA_3	319_8_mouse_C57Bl6_Adip_VisWA_4	319_9_mouse_C57Bl6_Adip_ScWA_1	319_11_mouse_C57Bl6_Adip_iBA_3	319_12_mouse_C57Bl6_Adip_iBA_4	319_13_mouse_SV129_Adip_ScWA_1	319_14_mouse_SV129_Adip_ScWA_2	319_15_mouse_SV129_Adip_ScWA_3	319_16_mouse_SV129_Adip_ScWA_4	319_17_mouse_SV129_Adip_VisWA_1	319_18_mouse_SV129_Adip_VisWA_2	319_19_mouse_SV129_Adip_VisWA_3	319_20_mouse_SV129_Adip_VisWA_4	319_21_mouse_SV129_Adip_iBA_1	319_22_mouse_SV129_Adip_iBA_2	319_23_mouse_SV129_Adip_iBA_3	319_24_mouse_SV129_Adip_iBA_4
ENSMUSG00000092192	0.153	0.368	0.652	0.785	0.627	0.567	0.588	0.655	0.515	0.093	0.165	0.245	0.781	0.540	0.660	0.477	0.568	0.508	0.746	0.456	0.297	0.271	0.308
ENSMUSG00000092193	0	0	0	0.071	0.102	0	0.084	0	0.147	0	0	0.085	0.044	0.098	0	0.100	0.126	0.040	0.224	0.043	0	0.305	0.096
ENSMUSG00000092195	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029	0	0	0	0.028	0	0	0	0	0
ENSMUSG00000092198	0	0	0	0	0	0	0	0	0.084	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092200	0.715	0.113	0.084	0.201	0.127	0.174	0.250	0.186	0.246	0.263	0.527	0.177	0.098	0.152	0.180	0.249	0.239	0.254	0.258	0.238	0.285	0.400	0.276
ENSMUSG00000092201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037	0	0	0	0	0
ENSMUSG00000092202	0.376	0.389	0.277	0.451	0.718	0.635	0.390	0.359	0.179	0.199	0.163	0.451	0.269	0.610	0.345	0.634	0.400	0.650	0.515	0.270	0.169	0.216	0.171
ENSMUSG00000092203	16.054	7.196	6.473	7.037	15.332	10.350	10.652	10.631	9.751	11.311	14.907	8.807	8.277	9.769	13.187	9.786	11.051	11.774	9.469	15.891	12.114	18.146	14.575
ENSMUSG00000092212	0.058	0.141	0.069	0.097	0	0.121	0.094	0	0.305	0.150	0.072	0.313	0.139	0.090	0.127	0.077	0	0.091	0.034	0.089	0.054	0.166	0.106
ENSMUSG00000092215	21.953	94.267	84.541	95.246	11.962	18.043	17.803	15.544	93.944	50.695	27.692	31.663	23.249	32.232	17.125	8.861	4.645	6.431	6.399	13.570	5.298	19.974	15.063
ENSMUSG00000092216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.050	0	0	0.051	0.148	0	0.060	0.120	0.063
ENSMUSG00000092218	3.934	0.991	2.272	2.200	0.267	0	1.020	0.263	0.210	2.173	2.018	1.909	2.079	0	1.080	1.472	1.769	0	0.731	0.276	0.401	0.998	0
ENSMUSG00000092219	0	0.071	0	0	0	0	0.122	0	0.066	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092220	0	6.715	4.520	0	0	7.723	10.751	0	5.804	0	1.878	16.417	18.832	16.692	0	21.308	21.064	0	0	4.625	0	4.088	0
ENSMUSG00000092222	0	0	0	0.080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092223	0.683	0.616	0.709	0.706	1.256	1.115	1.039	0.457	0.635	0.716	0.847	0.831	0.752	0.510	0.592	0.621	0.821	0.950	0.769	0.310	0.619	0.825	0.767
ENSMUSG00000092224	0	0	0	0	0	0	0	0	0.174	0.067	0	0	0	0	0.090	0	0	0	0	0	0	0	0
ENSMUSG00000092225	0	0.035	0.028	0.020	0	0.008	0.016	0.013	0.024	0	0	0.010	0.018	0.026	0.016	0.032	0.021	0.010	0.024	0	0.007	0.011	0.008
ENSMUSG00000092229	0.837	0	0	0	0.333	0.235	0.388	0.131	0.196	0	0.316	0.405	0.435	0.465	0.608	1.232	1.071	0.925	0.907	0.776	0.425	0.764	0.649
ENSMUSG00000092230	0.072	0.151	0.127	0.158	0.205	0.120	0.115	0.146	0.207	0.220	0.141	0.161	0.123	0.172	0.143	0.149	0.181	0.195	0.162	0.162	0.112	0.173	0.127
ENSMUSG00000092231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161	0.168
ENSMUSG00000092232	0	0	0	0	0	0	0	0	0.128	0	0	0	0.139	0	0.495	0	0.292	0.322	0	0	0.144	0	0
ENSMUSG00000092233	1.513	0.388	1.126	0	0	0.675	0	0.294	0	0.840	0.514	0.380	0.392	0.623	0.636	0.369	0	1.205	0.640	0.189	0.480	0.424	0.930
ENSMUSG00000092238	0	0	0	0	0.042	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092240	3.936	1.239	0.904	0.907	0.291	0.728	1.057	0.510	1.085	1.187	2.370	0.814	0.691	1.140	0.802	0.655	0.612	0.927	0.410	1.224	0.557	2.089	0.433
